,Voltage,Current,Temp1,Temp2
0,0.000126842366,1.6015945e-07,"+1.87605914E+01
","+1.82430714E+01
"
1,1.00061624,1.67428646e-07,"+1.87796933E+01
","+1.82405654E+01
"
2,2.00026683,1.556854e-07,"+1.88415972E+01
","+1.82565504E+01
"
3,3.00135421,1.84761914e-07,"+1.89053706E+01
","+1.82771783E+01
"
4,4.00120635,1.59040222e-07,"+1.89770743E+01
","+1.82575358E+01
"
